correct,wrong,comment
Aachen,Aix-La-Chapelle,
ABB,Abb,
Addis Abeba,Addis Ababa,
adhd,Adhd | ADHD,
Aga,AGA,
aids,Aids | AIDS,
aidssjuk,aids-sjuk,
a-kassa,A-kassa,
A-lag,a-lag,
Alfredson,Alfredsson,"Om Hans, Tomas och Daniel (filmregissör) Alfredson"
Alfredsson,Alfredson,Om Daniel (ishockeyspelare) Alfredsson
Allah,allah,
Allenbybron,Allenby Bridge,
alltinget,altinget | Alltinget,
Alzheimers sjukdom,Alzheimer,
alzheimer,Alzheimer,
ampere,Ampere,
amerikaner,amerikanare,
Anatolij,Anatoly,
andra världskriget,Andra världskriget,
angivare eller tjallare,informatör,
angripare,anfallare,
annullera,anullera | annulera,
ansöka om asyl,söka om asyl,
appell,apell,
appellationsdomstol,apellationsdomstol,
Aqaba,Akaba,
Arabförbundet,Arabligan,
Arbil,Arbela | Erbil | Irbil,
armén,Armén,
Asea,ASEA,
Asean,ASEAN,
Assi Domän,AssiDomän,
Astra Zeneca,AstraZeneca,
Aswan,Assuan,
Asyut,Assiut,
Aten,Athen,
australier,australiensare,
australisk,australiensisk,
anhängare av,anhängare till,
på begäran av,på begäran från,
avlägga ed,sväras in,
avvisning,avisning,
domar avkunnas,förkunnas,
ayatolla,aiatolla | ayatollah | aiatollah,
Baalbek,Balabakk,
Baden-Württemberg,Baden-Würtemberg,
Badghis,Bagdhis | Bahgdis | Baghdis,
Bagdad,Baghdad,
Bahrain,Bahrein | Bahrayn,
bajonett,bajonnett,
balett,ballet,
Barbra Streisand,Barbara Streisand,
Basel,Basle,
Bayern,Bavaria,
Bekaa,al-Beqaa | al-Biqa |Beka,
Benghazi,Bengasi | Banghazi,
Benin,Dahomey,
Berlingske Tidende,BT,
bestritt,bestridit,
betygsätta,betygssätta,
bevillningsutskott,beviljningsutskott,
B-film,b-film,
bh eller behå,BH,
biljon,billion,
Bisjkek,Frunze,
bitcoin,Bitcoin,
Björneborg,Pori,
bland annat,bl a,
Bodensjön,Lake of Constance,
Bookerpriset,Booker Prize,
Bordeaux,Bourdeaux,
borgenssumma,borgensumma,
Borgå,Porvoo,
borsjtj,borshch,
bosnienserb,Bosnienserb,
brandbomb,brännbomb,
brasilian,brasilianare,
Braunschweig,Brunswick,
Brega,al-Barryqa | al-Burayqa,
Brygge,Brügge | Brugge | Bruges,
Bryssel,Brussels | Brüssel,
